Time (s),Mass (kg)
0,1.045
0.01,1.04498
0.02,1.04492
0.03,1.04481
0.04,1.04467
0.05,1.04448
0.06,1.04425
0.07,1.04398
0.08,1.04367
0.09,1.04331
0.1,1.04291
0.11,1.04248
0.12,1.042
0.13,1.04147
0.14,1.04091
0.15,1.04031
0.16,1.03966
0.17,1.03897
0.18,1.03824
0.19,1.03747
0.2,1.03666
0.21,1.03583
0.22,1.035
0.23,1.03418
0.24,1.03337
0.25,1.03257
0.26,1.03177
0.27,1.03098
0.28,1.03019
0.29,1.02941
0.3,1.02864
0.31,1.02788
0.32,1.02712
0.33,1.02637
0.34,1.02562
0.35,1.02489
0.36,1.02415
0.37,1.02343
0.38,1.02271
0.39,1.022
0.4,1.02129
0.41,1.02059
0.42,1.01989
0.43,1.01919
0.44,1.01848
0.45,1.01778
0.46,1.01708
0.47,1.01638
0.48,1.01568
0.49,1.01498
0.5,1.01427
0.51,1.01357
0.52,1.01287
0.53,1.01217
0.54,1.01147
0.55,1.01076
0.56,1.01006
0.57,1.00936
0.58,1.00866
0.59,1.00796
0.6,1.00725
0.61,1.00655
0.62,1.00585
0.63,1.00515
0.64,1.00445
0.65,1.00374
0.66,1.00304
0.67,1.00234
0.68,1.00164
0.69,1.00094
0.7,1.00023
0.71,0.999532
0.72,0.99883
0.73,0.998129
0.74,0.997427
0.75,0.996725
0.76,0.996023
0.77,0.995321
0.78,0.994619
0.79,0.993917
0.8,0.993215
0.81,0.992514
0.82,0.991817
0.83,0.991123
0.84,0.990433
0.85,0.989745
0.86,0.989061
0.87,0.988379
0.88,0.987701
0.89,0.987027
0.9,0.986355
0.91,0.985686
0.92,0.985021
0.93,0.984359
0.94,0.9837
0.95,0.983045
0.96,0.982392
0.97,0.981743
0.98,0.981097
0.99,0.980454
1,0.979814
1.01,0.979177
1.02,0.978544
1.03,0.977914
1.04,0.977287
1.05,0.976663
1.06,0.976043
1.07,0.975425
1.08,0.974811
1.09,0.9742
1.1,0.973592
1.11,0.972987
1.12,0.972386
1.13,0.971788
1.14,0.971193
1.15,0.970601
1.16,0.970012
1.17,0.969427
1.18,0.968844
1.19,0.968265
1.2,0.967689
1.21,0.967117
1.22,0.966547
1.23,0.965981
1.24,0.965418
1.25,0.964858
1.26,0.964301
1.27,0.963747
1.28,0.963197
1.29,0.96265
1.3,0.962106
1.31,0.961565
1.32,0.961027
1.33,0.960493
1.34,0.959961
1.35,0.959433
1.36,0.958909
1.37,0.958387
1.38,0.957868
1.39,0.957353
1.4,0.956841
1.41,0.956332
1.42,0.955826
1.43,0.955324
1.44,0.954824
1.45,0.954328
1.46,0.953835
1.47,0.953346
1.48,0.952859
1.49,0.952376
1.5,0.951895
1.51,0.951418
1.52,0.950945
1.53,0.950474
1.54,0.950007
1.55,0.949542
1.56,0.949081
1.57,0.948623
1.58,0.948169
1.59,0.947717
1.6,0.947269
1.61,0.946824
1.62,0.946382
1.63,0.945943
1.64,0.945508
1.65,0.945075
1.66,0.944646
1.67,0.94422
1.68,0.943797
1.69,0.943378
1.7,0.942962
1.71,0.942548
1.72,0.942138
1.73,0.941732
1.74,0.941328
1.75,0.940927
1.76,0.94053
1.77,0.940136
1.78,0.939745
1.79,0.939358
1.8,0.938973
1.81,0.938592
1.82,0.938214
1.83,0.937839
1.84,0.937467
1.85,0.937099
1.86,0.936733
1.87,0.936371
1.88,0.936012
1.89,0.935656
1.9,0.935304
1.91,0.934955
1.92,0.934608
1.93,0.934265
1.94,0.933926
1.95,0.933589
1.96,0.933255
1.97,0.932925
1.98,0.932598
1.99,0.932274
2,0.931954
2.01,0.931636
2.02,0.931322
2.03,0.931011
2.04,0.930703
2.05,0.930398
2.06,0.930097
2.07,0.929798
2.08,0.929503
2.09,0.929211
2.1,0.928923
2.11,0.928637
2.12,0.928355
2.13,0.928075
2.14,0.927799
2.15,0.927527
2.16,0.927257
2.17,0.926991
2.18,0.926727
2.19,0.926467
2.2,0.92621
2.21,0.925957
2.22,0.925706
2.23,0.925459
2.24,0.925215
2.25,0.924974
2.26,0.924736
2.27,0.924502
2.28,0.924271
2.29,0.924042
2.3,0.923817
2.31,0.923596
2.32,0.923377
2.33,0.923162
2.34,0.92295
2.35,0.922741
2.36,0.922535
2.37,0.922332
2.38,0.922133
2.39,0.921937
2.4,0.921744
2.41,0.921554
2.42,0.921367
2.43,0.921184
2.44,0.921003
2.45,0.920826
2.46,0.920652
2.47,0.920482
2.48,0.920314
2.49,0.92015
2.5,0.919989
2.51,0.919831
2.52,0.919676
2.53,0.919524
2.54,0.919376
2.55,0.919231
2.56,0.919089
2.57,0.91895
2.58,0.918814
2.59,0.918682
2.6,0.918553
2.61,0.918427
2.62,0.918304
2.63,0.918184
2.64,0.918068
2.65,0.917955
2.66,0.917845
2.67,0.917738
2.68,0.917634
2.69,0.917533
2.7,0.917436
2.71,0.917342
2.72,0.917251
2.73,0.917163
2.74,0.917079
2.75,0.916997
2.76,0.916919
2.77,0.916844
2.78,0.916772
2.79,0.916704
2.8,0.916638
2.81,0.916576
2.82,0.916517
2.83,0.916461
2.84,0.916409
2.85,0.916359
2.86,0.916313
2.87,0.91627
2.88,0.91623
2.89,0.916193
2.9,0.91616
2.91,0.91613
2.92,0.916102
2.93,0.916078
2.94,0.916058
2.95,0.91604
2.96,0.916026
2.97,0.916015
2.98,0.916007
2.99,0.916002
3,0.916
