Time (s),Acceleration (m/s^2),Velocity (m/s),Altitude (m)
0,0,0,0
0.1,56.6371,2.33564,0.0614279
0.2,124.444,11.3731,0.690373
0.3,115.03,23.3537,2.43456
0.4,104.851,34.3536,5.32841
0.5,105.15,44.8563,9.28865
0.6,105.127,55.3728,14.3001
0.7,104.778,65.8708,20.3626
0.8,104.106,76.3177,27.4726
0.9,97.5048,86.4014,35.614
1,90.5626,95.8073,44.7302
1.1,83.3535,104.505,54.7519
1.2,75.9503,112.472,65.6069
1.3,68.4232,119.691,77.2213
1.4,60.8381,126.154,89.5198
1.5,53.2557,131.859,102.427
1.6,45.7301,136.807,115.866
1.7,38.3086,141.008,129.763
1.8,31.0309,144.474,144.044
1.9,23.9301,147.22,158.634
2,17.0317,149.267,173.464
2.1,10.3549,150.634,188.465
2.2,3.91281,151.345,203.569
2.3,-2.2871,151.425,218.713
2.4,-8.24214,150.896,233.834
2.5,-13.9538,149.784,248.873
2.6,-19.4272,148.113,263.772
2.7,-24.6704,145.907,278.477
2.8,-29.6938,143.187,292.936
2.9,-34.5099,139.975,307.098
3,-39.1325,136.291,320.915
3.1,-37.472,132.462,334.352
3.2,-35.9278,128.793,347.413
3.3,-34.4893,125.273,360.115
3.4,-33.1472,121.892,372.472
3.5,-31.8931,118.64,384.498
3.6,-30.7195,115.51,396.204
3.7,-29.6198,112.494,407.604
3.8,-28.588,109.584,418.707
3.9,-27.6187,106.774,429.524
4,-26.707,104.058,440.065
4.1,-25.8485,101.431,450.339
4.2,-25.0393,98.8871,460.354
4.3,-24.2757,96.4218,470.119
4.4,-23.5544,94.0306,479.641
4.5,-22.8724,91.7096,488.927
4.6,-22.2271,89.4549,497.985
4.7,-21.6159,87.263,506.82
4.8,-21.0366,85.1306,515.439
4.9,-20.487,83.0547,523.848
5,-19.9653,81.0323,532.052
5.1,-19.4696,79.0608,540.056
5.2,-18.9984,77.1376,547.866
5.3,-18.5501,75.2603,555.485
5.4,-18.1235,73.4268,562.919
5.5,-17.7171,71.635,570.172
5.6,-17.3298,69.8828,577.248
5.7,-16.9606,68.1684,584.15
5.8,-16.6084,66.4901,590.883
5.9,-16.2722,64.8462,597.449
6,-15.9513,63.2351,603.853
6.1,-15.6447,61.6555,610.097
6.2,-15.3518,60.1057,616.185
6.3,-15.0718,58.5847,622.119
6.4,-14.8041,57.091,627.903
6.5,-14.5481,55.6235,633.538
6.6,-14.3031,54.181,639.028
6.7,-14.0687,52.7625,644.375
6.8,-13.8444,51.3669,649.582
6.9,-13.6296,49.9933,654.649
7,-13.424,48.6407,659.581
7.1,-13.2271,47.3082,664.378
7.2,-13.0385,45.995,669.043
7.3,-12.858,44.7002,673.578
7.4,-12.6851,43.4231,677.984
7.5,-12.5195,42.163,682.263
7.6,-12.3609,40.919,686.417
7.7,-12.2091,39.6906,690.447
7.8,-12.0638,38.477,694.356
7.9,-11.9247,37.2776,698.143
8,-11.7916,36.0918,701.812
8.1,-11.6643,34.9191,705.362
8.2,-11.5425,33.7588,708.796
8.3,-11.4261,32.6104,712.114
8.4,-11.3149,31.4734,715.318
8.5,-11.2087,30.3473,718.409
8.6,-11.1074,29.2315,721.388
8.7,-11.0107,28.1256,724.256
8.8,-10.9186,27.0292,727.014
8.9,-10.831,25.9418,729.662
9,-10.7476,24.8629,732.202
9.1,-10.6684,23.7921,734.635
9.2,-10.5932,22.7291,736.961
9.3,-10.522,21.6733,739.181
9.4,-10.4546,20.6245,741.296
9.5,-10.391,19.5823,743.306
9.6,-10.331,18.5462,745.212
9.7,-10.2747,17.516,747.016
9.8,-10.2218,16.4912,748.716
9.9,-10.1724,15.4715,750.314
10,-10.1264,14.4566,751.81
10.1,-10.0837,13.4461,753.205
10.2,-10.0442,12.4397,754.5
10.3,-10.0079,11.4372,755.693
10.4,-9.97485,10.438,756.787
10.5,-9.94488,9.44208,757.781
10.6,-9.91799,8.44896,758.676
10.7,-9.89415,7.45838,759.471
10.8,-9.87332,6.47003,760.167
10.9,-9.85548,5.48361,760.765
11,-9.84061,4.49883,761.264
11.1,-9.82869,3.51539,761.665
11.2,-9.8197,2.533,761.967
11.3,-9.81364,1.55135,762.172
11.4,-9.81049,0.570172,762.278
11.5,-9.75667,-0.410092,762.286
11.6,-9.2204,-1.36349,762.197
11.7,-8.22062,-2.23863,762.016
11.8,-6.95778,-2.99885,761.753
11.9,-5.63475,-3.62824,761.42
12,-4.40274,-4.12891,761.031
12.1,-3.3449,-4.51466,760.598
12.2,-2.48747,-4.80461,760.132
12.3,-1.82054,-5.01852,759.64
12.4,-1.31686,-5.17416,759.13
12.5,-0.944406,-5.28626,758.606
12.6,-0.67307,-5.36641,758.074
12.7,-0.477489,-5.4234,757.534
12.8,-0.337567,-5.46376,756.989
12.9,-0.237996,-5.49225,756.442
13,-0.167403,-5.51232,755.891
13.1,-0.117487,-5.52642,755.339
13.2,-0.0822567,-5.5363,754.786
13.3,-0.0574247,-5.54321,754.232
13.4,-0.0399379,-5.54803,753.678
13.5,-0.0276317,-5.55137,753.123
13.6,-0.0189753,-5.55368,752.567
13.7,-0.0128882,-5.55525,752.012
13.8,-0.00860892,-5.55632,751.456
13.9,-0.005601,-5.55702,750.901
14,-0.00348699,-5.55747,750.345
14.1,-0.00200138,-5.55774,749.789
14.2,-0.000957451,-5.55788,749.233
14.3,-0.000223929,-5.55794,748.678
14.4,0.000291456,-5.55793,748.122
14.5,0.000653553,-5.55788,747.566
14.6,0.000907941,-5.55781,747.01
14.7,0.00108664,-5.55771,746.454
14.8,0.00121217,-5.55759,745.899
14.9,0.00130033,-5.55746,745.343
15,0.00136225,-5.55733,744.787
15.1,0.00140571,-5.55719,744.231
15.2,0.00143622,-5.55705,743.676
15.3,0.00145762,-5.55691,743.12
15.4,0.00147263,-5.55676,742.564
15.5,0.00148314,-5.55661,742.009
15.6,0.0014905,-5.55646,741.453
15.7,0.00149564,-5.55631,740.897
15.8,0.00149922,-5.55616,740.342
15.9,0.0015017,-5.55601,739.786
16,0.00150342,-5.55586,739.231
16.1,0.00150459,-5.55571,738.675
16.2,0.00150539,-5.55556,738.119
16.3,0.00150591,-5.55541,737.564
16.4,0.00150626,-5.55526,737.008
16.5,0.00150647,-5.55511,736.453
16.6,0.00150658,-5.55496,735.897
16.7,0.00150663,-5.55481,735.342
16.8,0.00150664,-5.55466,734.786
16.9,0.00150662,-5.55451,734.231
