Time (s),Mass (kg)
0,0.04855
0.01,0.0485455
0.02,0.048532
0.03,0.0485094
0.04,0.0484779
0.05,0.0484373
0.06,0.0483877
0.07,0.0483291
0.08,0.0482614
0.09,0.0481848
0.1,0.0480991
0.11,0.0480044
0.12,0.0479007
0.13,0.0477879
0.14,0.0476662
0.15,0.0475354
0.16,0.0473956
0.17,0.0472468
0.18,0.047089
0.19,0.0469222
0.2,0.046756
0.21,0.0466103
0.22,0.0464858
0.23,0.0463824
0.24,0.0463001
0.25,0.0462388
0.26,0.0461854
0.27,0.046132
0.28,0.0460786
0.29,0.0460252
0.3,0.0459718
0.31,0.0459184
0.32,0.045865
0.33,0.0458116
0.34,0.0457582
0.35,0.0457048
0.36,0.0456514
0.37,0.0455981
0.38,0.0455447
0.39,0.0454913
0.4,0.0454379
0.41,0.0453845
0.42,0.0453311
0.43,0.0452777
0.44,0.0452243
0.45,0.0451709
0.46,0.0451175
0.47,0.0450641
0.48,0.0450107
0.49,0.0449573
0.5,0.0449039
0.51,0.0448505
0.52,0.0447971
0.53,0.0447437
0.54,0.0446903
0.55,0.0446369
0.56,0.0445835
0.57,0.0445301
0.58,0.0444767
0.59,0.0444233
0.6,0.0443699
0.61,0.0443165
0.62,0.0442631
0.63,0.0442097
0.64,0.0441564
0.65,0.044103
0.66,0.0440496
0.67,0.0439962
0.68,0.0439428
0.69,0.0438894
0.7,0.043836
0.71,0.0437826
0.72,0.0437292
0.73,0.0436758
0.74,0.0436224
0.75,0.043569
0.76,0.0435156
0.77,0.0434622
0.78,0.0434088
0.79,0.0433554
0.8,0.043302
0.81,0.0432486
0.82,0.0431952
0.83,0.0431418
0.84,0.0430884
0.85,0.043035
0.86,0.0429816
0.87,0.0429282
0.88,0.0428748
0.89,0.0428214
0.9,0.0427681
0.91,0.0427147
0.92,0.0426613
0.93,0.0426079
0.94,0.0425545
0.95,0.0425011
0.96,0.0424477
0.97,0.0423943
0.98,0.0423409
0.99,0.0422875
1,0.0422341
1.01,0.0421807
1.02,0.0421273
1.03,0.0420739
1.04,0.0420205
1.05,0.0419671
1.06,0.0419137
1.07,0.0418603
1.08,0.0418069
1.09,0.0417535
1.1,0.0417001
1.11,0.0416467
1.12,0.0415933
1.13,0.0415399
1.14,0.0414865
1.15,0.0414331
1.16,0.0413797
1.17,0.0413263
1.18,0.041273
1.19,0.0412196
1.2,0.0411662
1.21,0.0411128
1.22,0.0410594
1.23,0.041006
1.24,0.0409526
1.25,0.0408992
1.26,0.0408458
1.27,0.0407924
1.28,0.040739
1.29,0.0406856
1.3,0.0406322
1.31,0.0405788
1.32,0.0405254
1.33,0.040472
1.34,0.0404186
1.35,0.0403652
1.36,0.0403118
1.37,0.0402584
1.38,0.040205
1.39,0.0401516
1.4,0.0400982
1.41,0.0400448
1.42,0.0399914
1.43,0.039938
1.44,0.0398846
1.45,0.0398313
1.46,0.0397779
1.47,0.0397245
1.48,0.0396711
1.49,0.0396177
1.5,0.0395643
1.51,0.0395109
1.52,0.0394575
1.53,0.0394041
1.54,0.0393507
1.55,0.0392973
1.56,0.0392439
1.57,0.0391905
1.58,0.0391371
1.59,0.0390837
1.6,0.0390303
1.61,0.0389769
1.62,0.0389235
1.63,0.0388701
1.64,0.0388167
1.65,0.0387633
1.66,0.0387099
1.67,0.0386565
1.68,0.0386031
1.69,0.0385497
1.7,0.0384963
1.71,0.0384429
1.72,0.0383896
1.73,0.0383362
1.74,0.0382828
1.75,0.0382294
1.76,0.038176
1.77,0.0381226
1.78,0.0380692
1.79,0.0380158
1.8,0.0379624
1.81,0.037909
1.82,0.0378556
1.83,0.0378082
1.84,0.0377744
1.85,0.0377544
