Time (s),Acceleration (m/s^2),Velocity (m/s),Altitude (m)
0,0,0,0
0.1,143.684,6.63545,0.204036
0.2,265.528,28.9695,1.85473
0.3,76.5425,41.3245,5.52565
0.4,73.2568,48.8206,10.0356
0.5,69.3002,55.9535,15.2776
0.6,64.8241,62.6634,21.2122
0.7,59.9891,68.9063,27.7947
0.8,54.9541,74.6545,34.977
0.9,49.8659,79.8954,42.7087
1,44.8526,84.6302,50.9392
1.1,40.0192,88.8719,59.6183
1.2,35.4463,92.6428,68.6978
1.3,31.1903,95.9718,78.1321
1.4,27.2861,98.8926,87.8786
1.5,23.7499,101.441,97.8982
1.6,20.5829,103.655,108.156
1.7,17.7749,105.57,118.619
1.8,15.3073,107.221,129.261
1.9,-103.407,101.28,139.824
2,-86.659,91.8149,149.464
2.1,-73.8024,83.8189,158.235
2.2,-63.7195,76.9624,166.266
2.3,-55.6673,71.0076,173.658
2.4,-49.136,65.7784,180.492
2.5,-43.7665,61.1418,186.833
2.6,-39.3,56.9951,192.736
2.7,-35.5459,53.2581,198.246
2.8,-32.3617,49.8669,203.4
2.9,-29.6386,46.7704,208.229
3,-27.293,43.9267,212.762
3.1,-25.2594,41.3014,217.022
3.2,-23.4859,38.8661,221.029
3.3,-21.9312,36.5969,224.8
3.4,-20.5618,34.4737,228.353
3.5,-19.3507,32.4793,231.7
3.6,-18.2755,30.599,234.853
3.7,-17.3177,28.8203,237.823
3.8,-16.4621,27.1321,240.62
3.9,-15.6959,25.5249,243.252
4,-15.0082,23.9903,245.727
4.1,-14.3899,22.521,248.052
4.2,-13.8333,21.1103,250.233
4.3,-13.3317,19.7525,252.276
4.4,-12.8794,18.4423,254.185
4.5,-12.4716,17.1751,255.966
4.6,-12.1041,15.9466,257.622
4.7,-11.7733,14.7531,259.156
4.8,-11.4759,13.5909,260.573
4.9,-11.2093,12.4569,261.875
5,-10.9712,11.3481,263.065
5.1,-10.7594,10.2617,264.146
5.2,-10.5723,9.19536,265.118
5.3,-10.4082,8.14652,265.985
5.4,-10.266,7.11298,266.748
5.5,-10.1446,6.09262,267.408
5.6,-10.0429,5.08341,267.967
5.7,-9.96027,4.08341,268.425
5.8,-9.89609,3.09074,268.784
5.9,-9.84988,2.10359,269.044
6,-9.82131,1.12018,269.205
6.1,-9.81017,0.138749,269.268
6.2,-8.50608,-0.803511,269.234
6.3,-5.28702,-1.49649,269.116
6.4,-2.64783,-1.88312,268.945
6.5,-1.18659,-2.06629,268.746
6.6,-0.50546,-2.14632,268.535
6.7,-0.210611,-2.18004,268.318
6.8,-0.0868808,-2.19402,268.099
6.9,-0.0356238,-2.19977,267.88
7,-0.0145025,-2.20212,267.66
7.1,-0.00581812,-2.20307,267.439
7.2,-0.00225066,-2.20345,267.219
7.3,-0.000785726,-2.20359,266.999
7.4,-0.000184271,-2.20364,266.778
7.5,6.26478e-05,-2.20364,266.558
7.6,0.000164011,-2.20363,266.338
7.7,0.000205619,-2.20361,266.117
7.8,0.000222696,-2.20359,265.897
7.9,0.000229703,-2.20357,265.676
8,0.000232576,-2.20354,265.456
8.1,0.000233751,-2.20352,265.236
8.2,0.00023423,-2.2035,265.015
8.3,0.000234423,-2.20347,264.795
8.4,0.000234499,-2.20345,264.575
8.5,0.000234526,-2.20343,264.354
8.6,0.000234534,-2.2034,264.134
8.7,0.000234533,-2.20338,263.914
8.8,0.000234529,-2.20336,263.693
8.9,0.000234524,-2.20333,263.473
9,0.000234518,-2.20331,263.253
9.1,0.000234512,-2.20328,263.032
9.2,0.000234506,-2.20326,262.812
9.3,0.0002345,-2.20324,262.592
9.4,0.000234494,-2.20321,262.371
9.5,0.000234488,-2.20319,262.151
9.6,0.000234482,-2.20317,261.931
9.7,0.000234475,-2.20314,261.71
9.8,0.000234469,-2.20312,261.49
9.9,0.000234463,-2.2031,261.27
10,0.000234457,-2.20307,261.049
10.1,0.000234451,-2.20305,260.829
10.2,0.000234445,-2.20303,260.609
10.3,0.000234438,-2.203,260.389
10.4,0.000234432,-2.20298,260.168
10.5,0.000234426,-2.20296,259.948
10.6,0.00023442,-2.20293,259.728
10.7,0.000234414,-2.20291,259.507
10.8,0.000234408,-2.20289,259.287
10.9,0.000234401,-2.20286,259.067
11,0.000234395,-2.20284,258.847
11.1,0.000234389,-2.20282,258.626
11.2,0.000234383,-2.20279,258.406
11.3,0.000234377,-2.20277,258.186
11.4,0.000234371,-2.20275,257.965
11.5,0.000234365,-2.20272,257.745
11.6,0.000234358,-2.2027,257.525
11.7,0.000234352,-2.20268,257.305
11.8,0.000234346,-2.20265,257.084
11.9,0.00023434,-2.20263,256.864
12,0.000234334,-2.2026,256.644
12.1,0.000234328,-2.20258,256.424
12.2,0.000234321,-2.20256,256.203
12.3,0.000234315,-2.20253,255.983
12.4,0.000234309,-2.20251,255.763
12.5,0.000234303,-2.20249,255.543
12.6,0.000234297,-2.20246,255.322
12.7,0.000234291,-2.20244,255.102
12.8,0.000234284,-2.20242,254.882
12.9,0.000234278,-2.20239,254.662
13,0.000234272,-2.20237,254.441
13.1,0.000234266,-2.20235,254.221
13.2,0.00023426,-2.20232,254.001
13.3,0.000234254,-2.2023,253.781
13.4,0.000234248,-2.20228,253.56
13.5,0.000234241,-2.20225,253.34
13.6,0.000234235,-2.20223,253.12
13.7,0.000234229,-2.20221,252.9
13.8,0.000234223,-2.20218,252.679
13.9,0.000234217,-2.20216,252.459
14,0.000234211,-2.20214,252.239
14.1,0.000234204,-2.20211,252.019
14.2,0.000234198,-2.20209,251.799
14.3,0.000234192,-2.20207,251.578
14.4,0.000234186,-2.20204,251.358
14.5,0.00023418,-2.20202,251.138
14.6,0.000234174,-2.202,250.918
14.7,0.000234168,-2.20197,250.698
14.8,0.000234161,-2.20195,250.477
14.9,0.000234155,-2.20193,250.257
15,0.000234149,-2.2019,250.037
15.1,0.000234143,-2.20188,249.817
15.2,0.000234137,-2.20186,249.597
15.3,0.000234131,-2.20183,249.376
15.4,0.000234125,-2.20181,249.156
15.5,0.000234118,-2.20179,248.936
15.6,0.000234112,-2.20176,248.716
15.7,0.000234106,-2.20174,248.496
15.8,0.0002341,-2.20171,248.276
15.9,0.000234094,-2.20169,248.055
16,0.000234088,-2.20167,247.835
16.1,0.000234081,-2.20164,247.615
16.2,0.000234075,-2.20162,247.395
16.3,0.000234069,-2.2016,247.175
16.4,0.000234063,-2.20157,246.955
