Time (s),Thrust (N)
0,0
0.01,0.733854
0.02,1.46771
0.03,2.20156
0.04,2.93542
0.05,3.66927
0.06,4.40313
0.07,5.13698
0.08,5.87083
0.09,6.60469
0.1,7.33854
0.11,8.0724
0.12,8.80625
0.13,9.5401
0.14,10.274
0.15,11.0078
0.16,11.7417
0.17,12.4755
0.18,13.2094
0.19,13.9432
0.2,12.7138
0.21,10.9936
0.22,9.27341
0.23,7.5532
0.24,5.83298
0.25,4.345
0.26,4.345
0.27,4.345
0.28,4.345
0.29,4.345
0.3,4.345
0.31,4.345
0.32,4.345
0.33,4.345
0.34,4.345
0.35,4.345
0.36,4.345
0.37,4.345
0.38,4.345
0.39,4.345
0.4,4.345
0.41,4.345
0.42,4.345
0.43,4.345
0.44,4.345
0.45,4.345
0.46,4.345
0.47,4.345
0.48,4.345
0.49,4.345
0.5,4.345
0.51,4.345
0.52,4.345
0.53,4.345
0.54,4.345
0.55,4.345
0.56,4.345
0.57,4.345
0.58,4.345
0.59,4.345
0.6,4.345
0.61,4.345
0.62,4.345
0.63,4.345
0.64,4.345
0.65,4.345
0.66,4.345
0.67,4.345
0.68,4.345
0.69,4.345
0.7,4.345
0.71,4.345
0.72,4.345
0.73,4.345
0.74,4.345
0.75,4.345
0.76,4.345
0.77,4.345
0.78,4.345
0.79,4.345
0.8,4.345
0.81,4.345
0.82,4.345
0.83,4.345
0.84,4.345
0.85,4.345
0.86,4.345
0.87,4.345
0.88,4.345
0.89,4.345
0.9,4.345
0.91,4.345
0.92,4.345
0.93,4.345
0.94,4.345
0.95,4.345
0.96,4.345
0.97,4.345
0.98,4.345
0.99,4.345
1,4.345
1.01,4.345
1.02,4.345
1.03,4.345
1.04,4.345
1.05,4.345
1.06,4.345
1.07,4.345
1.08,4.345
1.09,4.345
1.1,4.345
1.11,4.345
1.12,4.345
1.13,4.345
1.14,4.345
1.15,4.345
1.16,4.345
1.17,4.345
1.18,4.345
1.19,4.345
1.2,4.345
1.21,4.345
1.22,4.345
1.23,4.345
1.24,4.345
1.25,4.345
1.26,4.345
1.27,4.345
1.28,4.345
1.29,4.345
1.3,4.345
1.31,4.345
1.32,4.345
1.33,4.345
1.34,4.345
1.35,4.345
1.36,4.345
1.37,4.345
1.38,4.345
1.39,4.345
1.4,4.345
1.41,4.345
1.42,4.345
1.43,4.345
1.44,4.345
1.45,4.345
1.46,4.345
1.47,4.345
1.48,4.345
1.49,4.345
1.5,4.345
1.51,4.345
1.52,4.345
1.53,4.345
1.54,4.345
1.55,4.345
1.56,4.345
1.57,4.345
1.58,4.345
1.59,4.345
1.6,4.345
1.61,4.345
1.62,4.345
1.63,4.345
1.64,4.345
1.65,4.345
1.66,4.345
1.67,4.345
1.68,4.345
1.69,4.345
1.7,4.345
1.71,4.345
1.72,4.345
1.73,4.345
1.74,4.345
1.75,4.345
1.76,4.345
1.77,4.345
1.78,4.345
1.79,4.345
1.8,4.345
1.81,4.345
1.82,4.345
1.83,3.30331
1.84,2.18921
1.85,1.07511
