Time (s),Mass (kg)
0,0.1579
0.01,0.157895
0.02,0.157881
0.03,0.157857
0.04,0.157824
0.05,0.157781
0.06,0.157728
0.07,0.157666
0.08,0.157595
0.09,0.157514
0.1,0.157423
0.11,0.157323
0.12,0.157214
0.13,0.157094
0.14,0.156966
0.15,0.156827
0.16,0.15668
0.17,0.156522
0.18,0.156356
0.19,0.156179
0.2,0.155993
0.21,0.155798
0.22,0.155593
0.23,0.155378
0.24,0.155154
0.25,0.154921
0.26,0.154678
0.27,0.154425
0.28,0.154175
0.29,0.153937
0.3,0.15371
0.31,0.153495
0.32,0.153291
0.33,0.153098
0.34,0.152917
0.35,0.152747
0.36,0.152588
0.37,0.152441
0.38,0.152305
0.39,0.15218
0.4,0.152066
0.41,0.151953
0.42,0.151839
0.43,0.151726
0.44,0.151613
0.45,0.1515
0.46,0.151387
0.47,0.151274
0.48,0.151161
0.49,0.151048
0.5,0.150935
0.51,0.150821
0.52,0.150708
0.53,0.150595
0.54,0.150482
0.55,0.150369
0.56,0.150256
0.57,0.150143
0.58,0.15003
0.59,0.149916
0.6,0.149803
0.61,0.14969
0.62,0.149577
0.63,0.149464
0.64,0.149351
0.65,0.149238
0.66,0.149125
0.67,0.149011
0.68,0.148898
0.69,0.148785
0.7,0.148672
0.71,0.148559
0.72,0.148446
0.73,0.148333
0.74,0.14822
0.75,0.148107
0.76,0.147993
0.77,0.14788
0.78,0.147767
0.79,0.147654
0.8,0.147541
0.81,0.147428
0.82,0.147315
0.83,0.147202
0.84,0.147088
0.85,0.146975
0.86,0.146862
0.87,0.146749
0.88,0.146636
0.89,0.146523
0.9,0.14641
0.91,0.146297
0.92,0.146183
0.93,0.14607
0.94,0.145957
0.95,0.145844
0.96,0.145731
0.97,0.145618
0.98,0.145505
0.99,0.145392
1,0.145278
1.01,0.145165
1.02,0.145052
1.03,0.144939
1.04,0.144826
1.05,0.144713
1.06,0.1446
1.07,0.144487
1.08,0.144374
1.09,0.14426
1.1,0.144147
1.11,0.144034
1.12,0.143921
1.13,0.143808
1.14,0.143695
1.15,0.143582
1.16,0.143469
1.17,0.143355
1.18,0.143242
1.19,0.143129
1.2,0.143016
1.21,0.142903
1.22,0.14279
1.23,0.142677
1.24,0.142564
1.25,0.14245
1.26,0.142337
1.27,0.142224
1.28,0.142111
1.29,0.141998
1.3,0.141885
1.31,0.141772
1.32,0.141659
1.33,0.141545
1.34,0.141432
1.35,0.141319
1.36,0.141206
1.37,0.141093
1.38,0.14098
1.39,0.140867
1.4,0.140754
1.41,0.140641
1.42,0.140527
1.43,0.140414
1.44,0.140301
1.45,0.140188
1.46,0.140075
1.47,0.139962
1.48,0.139849
1.49,0.139736
1.5,0.139622
1.51,0.139509
1.52,0.139396
1.53,0.139283
1.54,0.13917
1.55,0.139057
1.56,0.138944
1.57,0.138831
1.58,0.138717
1.59,0.138604
1.6,0.138491
1.61,0.138378
1.62,0.138265
1.63,0.138152
1.64,0.138039
1.65,0.137926
1.66,0.137812
1.67,0.137699
1.68,0.137586
1.69,0.137473
1.7,0.13736
1.71,0.137247
1.72,0.137134
1.73,0.137021
1.74,0.136908
1.75,0.136794
1.76,0.136681
1.77,0.136568
1.78,0.136455
1.79,0.136342
1.8,0.136229
1.81,0.136116
1.82,0.136003
1.83,0.135889
1.84,0.135776
1.85,0.135663
1.86,0.13555
1.87,0.135437
1.88,0.135324
1.89,0.135211
1.9,0.135098
1.91,0.134984
1.92,0.134871
1.93,0.134758
1.94,0.134645
1.95,0.134532
1.96,0.134419
1.97,0.134306
1.98,0.134193
1.99,0.13408
2,0.133966
2.01,0.133853
2.02,0.13374
2.03,0.133627
2.04,0.133514
2.05,0.133401
2.06,0.133288
2.07,0.133175
2.08,0.133061
2.09,0.132948
2.1,0.132835
2.11,0.132722
2.12,0.132609
2.13,0.132496
2.14,0.132383
2.15,0.13227
2.16,0.132156
2.17,0.132043
2.18,0.13193
2.19,0.131817
2.2,0.131704
2.21,0.131591
2.22,0.131478
2.23,0.131365
2.24,0.131251
2.25,0.131138
2.26,0.131025
2.27,0.130912
2.28,0.130799
2.29,0.130686
2.3,0.130573
2.31,0.13046
2.32,0.130347
2.33,0.130233
2.34,0.13012
2.35,0.130007
2.36,0.129894
2.37,0.129781
2.38,0.129668
2.39,0.129555
2.4,0.129442
2.41,0.129328
2.42,0.129215
2.43,0.129102
2.44,0.128989
2.45,0.128876
2.46,0.128763
2.47,0.12865
2.48,0.128537
2.49,0.128423
2.5,0.12831
2.51,0.128197
2.52,0.128084
2.53,0.127971
2.54,0.127858
2.55,0.127745
2.56,0.127632
2.57,0.127519
2.58,0.127405
2.59,0.127292
2.6,0.127179
2.61,0.127066
2.62,0.126953
2.63,0.12684
2.64,0.126727
2.65,0.126614
2.66,0.1265
2.67,0.126387
2.68,0.126274
2.69,0.126161
2.7,0.126048
2.71,0.125935
2.72,0.125822
2.73,0.125709
2.74,0.125595
2.75,0.125482
2.76,0.125369
2.77,0.125256
2.78,0.125143
2.79,0.12503
2.8,0.124917
2.81,0.124804
2.82,0.12469
2.83,0.124577
2.84,0.124464
2.85,0.124351
2.86,0.124238
2.87,0.124125
2.88,0.124012
2.89,0.123899
2.9,0.123786
2.91,0.123672
2.92,0.123559
2.93,0.123446
2.94,0.123333
2.95,0.12322
2.96,0.123107
2.97,0.122994
2.98,0.122881
2.99,0.122767
3,0.122654
3.01,0.122541
3.02,0.122438
3.03,0.122348
3.04,0.122272
3.05,0.12221
3.06,0.122162
3.07,0.122128
3.08,0.122107
3.09,0.1221
