Time (s),Acceleration (m/s^2),Velocity (m/s),Altitude (m)
0,0,0,0
0.1,36.2398,1.31577,0.0274339
0.2,83.6669,7.29436,0.41843
0.3,100.72,17.6255,1.64296
0.4,45.991,24.8464,3.8143
0.5,45.7287,29.4338,6.52853
0.6,45.2959,33.9864,9.6999
0.7,44.697,38.4874,13.3241
0.8,43.9392,42.9205,17.3951
0.9,43.0316,47.2703,21.9054
1,41.9858,51.5223,26.8459
1.1,40.8148,55.6633,32.2062
1.2,39.5331,59.6815,37.9745
1.3,38.1562,63.5667,44.138
1.4,36.7004,67.3101,50.6831
1.5,35.1819,70.9047,57.5951
1.6,33.6169,74.345,64.8589
1.7,32.0212,77.627,72.4588
1.8,30.4098,80.7487,80.3789
1.9,28.7967,83.709,88.6031
2,27.1948,86.5084,97.1153
2.1,25.6155,89.1487,105.9
2.2,24.0691,91.6326,114.94
2.3,22.5644,93.9639,124.221
2.4,21.1085,96.1471,133.728
2.5,19.7076,98.1874,143.446
2.6,18.3662,100.091,153.361
2.7,17.0879,101.863,163.459
2.8,15.8749,103.51,173.729
2.9,14.7286,105.04,184.157
3,13.6496,106.458,194.733
3.1,-63.6008,103.806,205.322
3.2,-57.4717,97.7605,215.395
3.3,-52.2402,92.2816,224.893
3.4,-47.7396,87.2881,233.867
3.5,-43.8404,82.7137,242.364
3.6,-40.4403,78.5034,250.422
3.7,-37.4582,74.6117,258.076
3.8,-34.8287,71,265.354
3.9,-32.4988,67.636,272.284
4,-30.4252,64.4917,278.889
4.1,-28.5721,61.5436,285.189
4.2,-26.9097,58.771,291.203
4.3,-25.4133,56.1561,296.948
4.4,-24.0619,53.6835,302.439
4.5,-22.8379,51.3395,307.689
4.6,-21.7262,49.1122,312.711
4.7,-20.714,46.991,317.515
4.8,-19.7902,44.9664,322.112
4.9,-18.9454,43.0303,326.511
5,-18.1712,41.175,330.721
5.1,-17.4605,39.3939,334.749
5.2,-16.8071,37.681,338.602
5.3,-16.2053,36.0308,342.287
5.4,-15.6505,34.4384,345.81
5.5,-15.1384,32.8993,349.177
5.6,-14.6652,31.4094,352.392
5.7,-14.2277,29.965,355.46
5.8,-13.8227,28.5628,358.386
5.9,-13.4478,27.1995,361.174
6,-13.1006,25.8723,363.827
6.1,-12.779,24.5785,366.349
6.2,-12.4812,23.3157,368.744
6.3,-12.2053,22.0815,371.014
6.4,-11.9501,20.8739,373.161
6.5,-11.714,19.6909,375.189
6.6,-11.4959,18.5305,377.1
6.7,-11.2947,17.3911,378.896
6.8,-11.1094,16.2711,380.579
6.9,-10.9391,15.1688,382.151
7,-10.7831,14.0828,383.613
7.1,-10.6406,13.0117,384.968
7.2,-10.511,11.9542,386.216
7.3,-10.3937,10.9091,387.359
7.4,-10.2883,9.87508,388.398
7.5,-10.1942,8.85105,389.334
7.6,-10.1111,7.83587,390.169
7.7,-10.0386,6.82848,390.902
7.8,-9.97652,5.8278,391.535
7.9,-9.92451,4.83284,392.068
8,-9.88239,3.84257,392.501
8.1,-9.84999,2.85604,392.836
8.2,-9.82718,1.87226,393.073
8.3,-9.81389,0.890283,393.211
8.4,-9.80491,-0.0908193,393.251
8.5,-9.134,-1.04675,393.193
8.6,-7.60878,-1.88884,393.045
8.7,-5.77197,-2.55825,392.821
8.8,-4.0768,-3.04825,392.54
8.9,-2.73706,-3.38567,392.217
9,-1.77573,-3.60837,391.866
9.1,-1.12659,-3.75124,391.498
9.2,-0.70459,-3.84124,391.118
9.3,-0.43666,-3.89727,390.731
9.4,-0.269012,-3.93189,390.339
9.5,-0.165051,-3.95318,389.945
9.6,-0.100938,-3.96622,389.549
9.7,-0.0615333,-3.97419,389.152
9.8,-0.0373649,-3.97903,388.754
9.9,-0.0225603,-3.98197,388.356
10,-0.0134988,-3.98373,387.958
10.1,-0.00795517,-3.98478,387.559
10.2,-0.00456471,-3.9854,387.161
10.3,-0.0024915,-3.98574,386.762
10.4,-0.00122394,-3.98592,386.363
10.5,-0.000449004,-3.986,385.965
10.6,2.47257e-05,-3.98602,385.566
10.7,0.000314309,-3.986,385.168
10.8,0.000491317,-3.98596,384.769
10.9,0.000599505,-3.98591,384.37
11,0.000665624,-3.98584,383.972
11.1,0.000706027,-3.98578,383.573
11.2,0.000730709,-3.9857,383.175
11.3,0.000745782,-3.98563,382.776
11.4,0.000754981,-3.98555,382.378
11.5,0.000760589,-3.98548,381.979
11.6,0.000764003,-3.9854,381.581
11.7,0.000766076,-3.98533,381.182
11.8,0.000767328,-3.98525,380.783
11.9,0.00076808,-3.98517,380.385
12,0.000768525,-3.9851,379.986
12.1,0.000768782,-3.98502,379.588
12.2,0.000768926,-3.98494,379.189
12.3,0.000768999,-3.98486,378.791
12.4,0.000769029,-3.98479,378.392
12.5,0.000769034,-3.98471,377.994
12.6,0.000769022,-3.98463,377.596
12.7,0.000769001,-3.98456,377.197
12.8,0.000768974,-3.98448,376.799
12.9,0.000768943,-3.9844,376.4
13,0.00076891,-3.98433,376.002
13.1,0.000768875,-3.98425,375.603
13.2,0.00076884,-3.98417,375.205
13.3,0.000768804,-3.9841,374.806
13.4,0.000768768,-3.98402,374.408
13.5,0.000768731,-3.98394,374.01
13.6,0.000768695,-3.98387,373.611
13.7,0.000768658,-3.98379,373.213
13.8,0.000768622,-3.98371,372.815
13.9,0.000768585,-3.98363,372.416
14,0.000768549,-3.98356,372.018
14.1,0.000768512,-3.98348,371.619
14.2,0.000768475,-3.9834,371.221
14.3,0.000768439,-3.98333,370.823
14.4,0.000768402,-3.98325,370.424
14.5,0.000768366,-3.98317,370.026
14.6,0.000768329,-3.9831,369.628
14.7,0.000768292,-3.98302,369.229
14.8,0.000768256,-3.98294,368.831
14.9,0.000768219,-3.98287,368.433
15,0.000768183,-3.98279,368.035
15.1,0.000768146,-3.98271,367.636
15.2,0.000768109,-3.98264,367.238
15.3,0.000768073,-3.98256,366.84
15.4,0.000768036,-3.98248,366.442
15.5,0.000768,-3.98241,366.043
15.6,0.000767963,-3.98233,365.645
15.7,0.000767926,-3.98225,365.247
15.8,0.00076789,-3.98217,364.849
15.9,0.000767853,-3.9821,364.45
16,0.000767817,-3.98202,364.052
16.1,0.00076778,-3.98194,363.654
16.2,0.000767744,-3.98187,363.256
16.3,0.000767707,-3.98179,362.858
16.4,0.00076767,-3.98171,362.459
16.5,0.000767634,-3.98164,362.061
16.6,0.000767597,-3.98156,361.663
16.7,0.000767561,-3.98148,361.265
16.8,0.000767524,-3.98141,360.867
16.9,0.000767488,-3.98133,360.469
17,0.000767451,-3.98125,360.071
17.1,0.000767415,-3.98118,359.672
17.2,0.000767378,-3.9811,359.274
17.3,0.000767342,-3.98102,358.876
17.4,0.000767305,-3.98095,358.478
17.5,0.000767269,-3.98087,358.08
17.6,0.000767232,-3.98079,357.682
17.7,0.000767195,-3.98072,357.284
17.8,0.000767159,-3.98064,356.886
17.9,0.000767122,-3.98056,356.488
18,0.000767086,-3.98049,356.09
18.1,0.000767049,-3.98041,355.692
18.2,0.000767013,-3.98033,355.294
18.3,0.000766976,-3.98026,354.896
18.4,0.00076694,-3.98018,354.498
18.5,0.000766903,-3.9801,354.1
18.6,0.000766867,-3.98003,353.702
18.7,0.00076683,-3.97995,353.304
18.8,0.000766794,-3.97987,352.906
18.9,0.000766757,-3.9798,352.508
19,0.000766721,-3.97972,352.11
19.1,0.000766684,-3.97964,351.712
19.2,0.000766648,-3.97957,351.314
