Time (s),Thrust (N)
0,0
0.01,0.723792
0.02,1.44758
0.03,2.17138
0.04,2.89517
0.05,3.61896
0.06,4.34275
0.07,5.06654
0.08,5.79033
0.09,6.51413
0.1,7.23792
0.11,7.96171
0.12,8.6855
0.13,9.40929
0.14,10.1331
0.15,10.8569
0.16,11.5807
0.17,12.3045
0.18,13.0283
0.19,13.752
0.2,14.4758
0.21,15.1996
0.22,15.9234
0.23,16.6472
0.24,17.371
0.25,18.0948
0.26,18.8186
0.27,19.3836
0.28,18.52
0.29,17.6563
0.3,16.7927
0.31,15.929
0.32,15.0654
0.33,14.2017
0.34,13.3381
0.35,12.4744
0.36,11.6108
0.37,10.7471
0.38,9.88348
0.39,9.01983
0.4,8.588
0.41,8.588
0.42,8.588
0.43,8.588
0.44,8.588
0.45,8.588
0.46,8.588
0.47,8.588
0.48,8.588
0.49,8.588
0.5,8.588
0.51,8.588
0.52,8.588
0.53,8.588
0.54,8.588
0.55,8.588
0.56,8.588
0.57,8.588
0.58,8.588
0.59,8.588
0.6,8.588
0.61,8.588
0.62,8.588
0.63,8.588
0.64,8.588
0.65,8.588
0.66,8.588
0.67,8.588
0.68,8.588
0.69,8.588
0.7,8.588
0.71,8.588
0.72,8.588
0.73,8.588
0.74,8.588
0.75,8.588
0.76,8.588
0.77,8.588
0.78,8.588
0.79,8.588
0.8,8.588
0.81,8.588
0.82,8.588
0.83,8.588
0.84,8.588
0.85,8.588
0.86,8.588
0.87,8.588
0.88,8.588
0.89,8.588
0.9,8.588
0.91,8.588
0.92,8.588
0.93,8.588
0.94,8.588
0.95,8.588
0.96,8.588
0.97,8.588
0.98,8.588
0.99,8.588
1,8.588
1.01,8.588
1.02,8.588
1.03,8.588
1.04,8.588
1.05,8.588
1.06,8.588
1.07,8.588
1.08,8.588
1.09,8.588
1.1,8.588
1.11,8.588
1.12,8.588
1.13,8.588
1.14,8.588
1.15,8.588
1.16,8.588
1.17,8.588
1.18,8.588
1.19,8.588
1.2,8.588
1.21,8.588
1.22,8.588
1.23,8.588
1.24,8.588
1.25,8.588
1.26,8.588
1.27,8.588
1.28,8.588
1.29,8.588
1.3,8.588
1.31,8.588
1.32,8.588
1.33,8.588
1.34,8.588
1.35,8.588
1.36,8.588
1.37,8.588
1.38,8.588
1.39,8.588
1.4,8.588
1.41,8.588
1.42,8.588
1.43,8.588
1.44,8.588
1.45,8.588
1.46,8.588
1.47,8.588
1.48,8.588
1.49,8.588
1.5,8.588
1.51,8.588
1.52,8.588
1.53,8.588
1.54,8.588
1.55,8.588
1.56,8.588
1.57,8.588
1.58,8.588
1.59,8.588
1.6,8.588
1.61,8.588
1.62,8.588
1.63,8.588
1.64,8.588
1.65,8.588
1.66,8.588
1.67,8.588
1.68,8.588
1.69,8.588
1.7,8.588
1.71,8.588
1.72,8.588
1.73,8.588
1.74,8.588
1.75,8.588
1.76,8.588
1.77,8.588
1.78,8.588
1.79,8.588
1.8,8.588
1.81,8.588
1.82,8.588
1.83,8.588
1.84,8.588
1.85,8.588
1.86,8.588
1.87,8.588
1.88,8.588
1.89,8.588
1.9,8.588
1.91,8.588
1.92,8.588
1.93,8.588
1.94,8.588
1.95,8.588
1.96,8.588
1.97,8.588
1.98,8.588
1.99,8.588
2,8.588
2.01,8.588
2.02,8.588
2.03,8.588
2.04,8.588
2.05,8.588
2.06,8.588
2.07,8.588
2.08,8.588
2.09,8.588
2.1,8.588
2.11,8.588
2.12,8.588
2.13,8.588
2.14,8.588
2.15,8.588
2.16,8.588
2.17,8.588
2.18,8.588
2.19,8.588
2.2,8.588
2.21,8.588
2.22,8.588
2.23,8.588
2.24,8.588
2.25,8.588
2.26,8.588
2.27,8.588
2.28,8.588
2.29,8.588
2.3,8.588
2.31,8.588
2.32,8.588
2.33,8.588
2.34,8.588
2.35,8.588
2.36,8.588
2.37,8.588
2.38,8.588
2.39,8.588
2.4,8.588
2.41,8.588
2.42,8.588
2.43,8.588
2.44,8.588
2.45,8.588
2.46,8.588
2.47,8.588
2.48,8.588
2.49,8.588
2.5,8.588
2.51,8.588
2.52,8.588
2.53,8.588
2.54,8.588
2.55,8.588
2.56,8.588
2.57,8.588
2.58,8.588
2.59,8.588
2.6,8.588
2.61,8.588
2.62,8.588
2.63,8.588
2.64,8.588
2.65,8.588
2.66,8.588
2.67,8.588
2.68,8.588
2.69,8.588
2.7,8.588
2.71,8.588
2.72,8.588
2.73,8.588
2.74,8.588
2.75,8.588
2.76,8.588
2.77,8.588
2.78,8.588
2.79,8.588
2.8,8.588
2.81,8.588
2.82,8.588
2.83,8.588
2.84,8.588
2.85,8.588
2.86,8.588
2.87,8.588
2.88,8.588
2.89,8.588
2.9,8.588
2.91,8.588
2.92,8.588
2.93,8.588
2.94,8.588
2.95,8.588
2.96,8.588
2.97,8.588
2.98,8.588
2.99,8.588
3,8.588
3.01,8.37854
3.02,7.33122
3.03,6.2839
3.04,5.23659
3.05,4.18927
3.06,3.14195
3.07,2.09463
3.08,1.04732
3.09,2.29499e-12
